Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month,Time,Unadj_Close,Next Quarter
05/20/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.203125,31.265625,31.140625,31.15625,4088,1576,198806,16:00:00,89.765625,198809
05/23/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.109375,31.234375,31.015625,31.015625,3437,2440,198806,16:00:00,89.625,198809
05/24/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.0625,31.109375,31.015625,31.03125,2780,2241,198806,16:00:00,89.640625,198809
05/25/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.140625,31.21875,31.046875,31.09375,2583,2421,198806,16:00:00,89.703125,198809
05/26/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.0625,31.078125,30.828125,30.984375,3430,3004,198806,16:00:00,89.59375,198809
05/27/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.734375,30.859375,30.671875,30.84375,2749,2719,198806,16:00:00,89.453125,198809
05/31/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.78125,30.9375,30.78125,30.9375,1543,2199,198809,16:00:00,89.03125,198812
06/01/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.1875,31.53125,31.171875,31.5,2078,2338,198809,16:00:00,89.59375,198812
06/02/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.546875,31.6875,31.390625,31.390625,3073,1857,198809,16:00:00,89.484375,198812
06/03/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.390625,31.75,31.375,31.75,2642,2885,198809,16:00:00,89.84375,198812
06/06/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.765625,31.8125,31.625,31.796875,3419,3678,198809,16:00:00,89.890625,198812
06/07/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.65625,31.765625,31.59375,31.65625,2078,3601,198809,16:00:00,89.75,198812
06/08/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.71875,32.03125,31.71875,32.03125,5041,4895,198809,16:00:00,90.125,198812
06/09/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.96875,32.046875,31.828125,31.875,5561,5688,198809,16:00:00,89.96875,198812
06/10/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.890625,32.109375,31.8125,31.984375,3394,5351,198809,16:00:00,90.078125,198812
06/13/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.078125,32.171875,32.078125,32.078125,1548,5653,198809,16:00:00,90.171875,198812
06/14/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.546875,32.90625,32.546875,32.875,2876,5941,198809,16:00:00,90.96875,198812
06/15/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.75,32.78125,32.640625,32.6875,1735,5978,198809,16:00:00,90.78125,198812
06/16/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.265625,32.265625,32.046875,32.109375,2644,5855,198809,16:00:00,90.203125,198812
06/17/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.96875,31.96875,31.625,31.6875,1954,5674,198809,16:00:00,89.78125,198812
06/20/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.5625,31.78125,31.421875,31.65625,1381,5077,198809,16:00:00,89.75,198812
06/21/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.6875,31.78125,31.515625,31.625,2877,5703,198809,16:00:00,89.71875,198812
06/22/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.0625,32.171875,31.953125,32.078125,1739,5575,198809,16:00:00,90.171875,198812
06/23/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.375,32.40625,32.15625,32.171875,1509,5577,198809,16:00:00,90.265625,198812
06/24/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.296875,32.375,32.1875,32.21875,1932,5511,198809,16:00:00,90.3125,198812
06/27/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.09375,32.140625,31.921875,31.9375,1048,5491,198809,16:00:00,90.03125,198812
06/28/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.859375,32.171875,31.84375,32.140625,2705,6608,198809,16:00:00,90.234375,198812
06/29/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.15625,32.34375,32.09375,32.171875,2496,6921,198809,16:00:00,90.265625,198812
06/30/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.265625,32.40625,32.234375,32.375,3289,7866,198809,16:00:00,90.46875,198812
07/01/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.53125,32.625,32.453125,32.453125,1295,8193,198809,16:00:00,90.546875,198812
07/05/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.296875,32.34375,32.234375,32.296875,1123,8519,198809,16:00:00,90.390625,198812
07/06/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.171875,32.25,32.09375,32.09375,1548,8860,198809,16:00:00,90.1875,198812
07/07/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.921875,32.0625,31.828125,32.03125,4108,9469,198809,16:00:00,90.125,198812
07/08/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.71875,31.765625,31.5625,31.59375,6643,9976,198809,16:00:00,89.6875,198812
07/11/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.59375,31.75,31.5625,31.75,1274,10134,198809,16:00:00,89.84375,198812
07/12/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.65625,31.6875,31.515625,31.515625,2897,9349,198809,16:00:00,89.609375,198812
07/13/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.421875,31.65625,31.375,31.4375,2668,9888,198809,16:00:00,89.53125,198812
07/14/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.4375,31.46875,31.328125,31.390625,2519,10703,198809,16:00:00,89.484375,198812
07/15/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.484375,31.609375,31.375,31.59375,2024,10530,198809,16:00:00,89.6875,198812
07/18/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.515625,31.53125,31.34375,31.40625,912,10181,198809,16:00:00,89.5,198812
07/19/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.484375,31.609375,31.484375,31.5625,3537,10275,198809,16:00:00,89.65625,198812
07/20/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.609375,31.609375,31.515625,31.5625,2240,11355,198809,16:00:00,89.65625,198812
07/21/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.359375,31.4375,31.359375,31.421875,2090,11193,198809,16:00:00,89.515625,198812
07/22/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.375,31.578125,31.34375,31.5625,1472,11412,198809,16:00:00,89.65625,198812
07/25/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.53125,31.671875,31.53125,31.609375,1220,11653,198809,16:00:00,89.703125,198812
07/26/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.546875,31.640625,31.546875,31.625,1774,12234,198809,16:00:00,89.71875,198812
07/27/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.5,31.546875,31.328125,31.34375,2167,12298,198809,16:00:00,89.4375,198812
07/28/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.34375,31.390625,31.1875,31.328125,2796,12439,198809,16:00:00,89.421875,198812
07/29/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.40625,31.46875,31.40625,31.453125,1270,13024,198809,16:00:00,89.546875,198812
08/01/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.484375,31.65625,31.484375,31.609375,1280,13490,198809,16:00:00,89.703125,198812
08/02/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.671875,31.828125,31.65625,31.828125,3318,13244,198809,16:00:00,89.921875,198812
08/03/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.859375,31.875,31.75,31.765625,3858,12043,198809,16:00:00,89.859375,198812
08/04/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.765625,31.953125,31.765625,31.953125,1033,11962,198809,16:00:00,90.046875,198812
08/05/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.65625,31.671875,31.375,31.421875,1870,11437,198809,16:00:00,89.515625,198812
08/08/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.390625,31.453125,31.34375,31.390625,1334,11369,198809,16:00:00,89.484375,198812
08/09/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.484375,31.5625,30.9375,31.015625,3783,10992,198809,16:00:00,89.109375,198812
08/10/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.90625,30.984375,30.640625,30.640625,3712,10497,198809,16:00:00,88.734375,198812
08/11/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.640625,30.6875,30.515625,30.59375,2655,10372,198809,16:00:00,88.6875,198812
08/12/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.4375,30.65625,30.4375,30.59375,2255,10605,198809,16:00:00,88.6875,198812
08/15/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.46875,30.5625,30.4375,30.5625,1963,10619,198809,16:00:00,88.65625,198812
08/16/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.328125,30.59375,30.296875,30.5625,2270,10377,198809,16:00:00,88.65625,198812
08/17/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.640625,30.640625,30.4375,30.515625,2951,10250,198809,16:00:00,88.609375,198812
08/18/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.46875,30.546875,30.46875,30.5,2033,10595,198809,16:00:00,88.59375,198812
08/19/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.5625,30.625,30.5,30.53125,1282,10574,198809,16:00:00,88.625,198812
08/22/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.5625,30.578125,30.390625,30.40625,3359,10961,198809,16:00:00,88.5,198812
08/23/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.453125,30.609375,30.4375,30.59375,3456,11334,198809,16:00:00,88.6875,198812
08/24/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.59375,30.703125,30.53125,30.578125,4566,12171,198809,16:00:00,88.671875,198812
08/25/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.25,30.359375,30.21875,30.34375,2193,12237,198809,16:00:00,88.4375,198812
08/26/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.359375,30.46875,30.328125,30.421875,4632,12593,198809,16:00:00,88.515625,198812
08/29/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.4375,30.640625,30.4375,30.640625,3247,11647,198809,16:00:00,88.734375,198812
08/30/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.765625,30.8125,30.609375,30.734375,6830,11634,198809,16:00:00,88.828125,198812
08/31/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.890625,30.90625,30.765625,30.875,2512,11764,198812,16:00:00,88.65625,198903
09/01/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,30.78125,30.90625,30.78125,30.875,2837,11904,198812,16:00:00,88.65625,198903
09/02/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.296875,31.9375,31.296875,31.78125,5428,11262,198812,16:00:00,89.5625,198903
09/06/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.875,31.875,31.75,31.84375,1855,11000,198812,16:00:00,89.625,198903
09/07/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.0625,32.171875,31.828125,31.84375,3606,11299,198812,16:00:00,89.625,198903
09/08/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.75,31.890625,31.71875,31.828125,5839,11765,198812,16:00:00,89.609375,198903
09/09/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.9375,32.09375,31.796875,32.09375,5173,12097,198812,16:00:00,89.875,198903
09/12/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.140625,32.15625,31.984375,31.984375,1503,12215,198812,16:00:00,89.765625,198903
09/13/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,31.90625,32.046875,31.875,32.03125,6560,13340,198812,16:00:00,89.8125,198903
09/14/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.40625,32.40625,32.140625,32.21875,3164,12624,198812,16:00:00,90.0,198903
09/15/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.265625,32.3125,32.0625,32.078125,2998,12537,198812,16:00:00,89.859375,198903
09/16/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.0,32.078125,31.9375,32.0625,3686,11385,198812,16:00:00,89.84375,198903
09/19/1988,&ZF_CCB,5-Year U.S. T-Note Continuous Contract Backadjusted,32.046875,32.078125,31.875,31.90625,1489,11269,198812,16:00:00,89.6875,198903
